account_id,month,target_days,targeting_priority,recommended_channel,campaign_count,outstanding_amount,dpd,risk_segment,loan_type,timezone,status,calls,answered_calls,call_seconds,complaints,contact_proxy
ACC0000001,2026-02,1,3.0,WHATSAPP,1,678074.03,15,MEDIUM,CONSUMER,Asia/Dubai,CLOSED,0.0,0.0,0.0,0.0,
ACC0000001,2026-03,1,5.0,FIELD,1,678074.03,15,MEDIUM,CONSUMER,Asia/Dubai,CLOSED,0.0,0.0,0.0,0.0,
ACC0000001,2026-06,1,7.0,FIELD,1,678074.03,15,MEDIUM,CONSUMER,Asia/Dubai,CLOSED,1.0,0.0,44.0,0.0,0.0
ACC0000002,2026-01,1,1.0,SMS,1,464893.44,5,LOW,BNPL,UTC,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000002,2026-03,1,8.0,WHATSAPP,1,464893.44,5,LOW,BNPL,UTC,ACTIVE,2.0,1.0,500.0,0.0,0.5
ACC0000002,2026-06,1,7.0,FIELD,1,464893.44,5,LOW,BNPL,UTC,ACTIVE,1.0,0.0,90.0,0.0,0.0
ACC0000003,2026-06,1,9.0,VOICE,1,22565.37,60,NPA,CREDIT_CARD,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000004,2026-02,1,7.0,SMS,1,508427.73,30,LOW,PERSONAL,UTC,CLOSED,0.0,0.0,0.0,0.0,
ACC0000006,2026-05,1,6.0,FIELD,1,326675.14,45,MEDIUM,BNPL,Asia/Kolkata,CLOSED,3.0,1.0,2032.0,0.0,0.3333333333333333
ACC0000007,2026-02,2,6.0,FIELD,2,438792.97,45,MEDIUM,BNPL,Asia/Kolkata,CLOSED,0.0,0.0,0.0,0.0,
ACC0000007,2026-03,1,8.0,SMS,1,438792.97,45,MEDIUM,BNPL,Asia/Kolkata,CLOSED,1.0,0.0,71.0,0.0,0.0
ACC0000008,2026-07,1,7.0,FIELD,1,413180.65,1,MEDIUM,PERSONAL,UTC,WRITEOFF,0.0,0.0,0.0,1.0,
ACC0000009,2026-04,1,9.0,WHATSAPP,1,546432.13,0,NPA,AUTO,UTC,PAID,0.0,0.0,0.0,0.0,
ACC0000010,2026-03,1,8.0,SMS,1,480229.21,120,NPA,CREDIT_CARD,Asia/Dubai,ACTIVE,2.0,1.0,1266.0,0.0,0.5
ACC0000010,2026-06,3,7.333333333333333,SMS,3,480229.21,120,NPA,CREDIT_CARD,Asia/Dubai,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000013,2026-01,1,7.0,SMS,1,563492.59,1,MEDIUM,BNPL,Asia/Dubai,CLOSED,1.0,0.0,746.0,0.0,0.0
ACC0000013,2026-04,2,4.0,FIELD,2,563492.59,1,MEDIUM,BNPL,Asia/Dubai,CLOSED,1.0,0.0,848.0,0.0,0.0
ACC0000014,2026-02,1,8.0,SMS,1,309754.88,60,MEDIUM,BNPL,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000014,2026-05,1,2.0,FIELD,1,309754.88,60,MEDIUM,BNPL,UTC,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000015,2026-01,1,10.0,VOICE,1,571588.51,180,NPA,CREDIT_CARD,Asia/Kolkata,PAID,0.0,0.0,0.0,1.0,
ACC0000015,2026-05,1,8.0,SMS,1,571588.51,180,NPA,CREDIT_CARD,Asia/Kolkata,PAID,0.0,0.0,0.0,0.0,
ACC0000016,2026-03,1,1.0,VOICE,1,219141.72,180,LOW,CREDIT_CARD,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000016,2026-06,2,6.0,SMS,2,219141.72,180,LOW,CREDIT_CARD,Asia/Dubai,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000017,2026-02,1,1.0,VOICE,1,5858.33,180,NPA,BNPL,Asia/Kolkata,ACTIVE,0.0,0.0,0.0,0.0,
ACC0000017,2026-03,1,4.0,WHATSAPP,1,5858.33,180,NPA,BNPL,Asia/Kolkata,ACTIVE,2.0,0.0,1494.0,0.0,0.0
ACC0000019,2026-03,1,7.0,VOICE,1,466998.79,90,MEDIUM,BNPL,Asia/Dubai,PAID,0.0,0.0,0.0,0.0,
ACC0000020,2026-01,1,5.0,SMS,1,45094.95,45,NPA,PERSONAL,Asia/Kolkata,WRITEOFF,1.0,1.0,353.0,0.0,1.0
ACC0000021,2026-02,1,1.0,WHATSAPP,1,360763.28,1,HIGH,PERSONAL,UTC,ACTIVE,2.0,0.0,379.0,0.0,0.0
ACC0000021,2026-03,1,2.0,WHATSAPP,1,360763.28,1,HIGH,PERSONAL,UTC,ACTIVE,0.0,0.0,0.0,1.0,
ACC0000022,2026-01,1,8.0,SMS,1,164021.52,75,HIGH,CREDIT_CARD,Asia/Dubai,PAID,0.0,0.0,0.0,0.0,
ACC0000022,2026-05,1,2.0,VOICE,1,164021.52,75,HIGH,CREDIT_CARD,Asia/Dubai,PAID,0.0,0.0,0.0,0.0,
ACC0000023,2026-06,1,10.0,VOICE,1,640336.97,60,HIGH,CREDIT_CARD,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000023,2026-07,1,5.0,VOICE,1,640336.97,60,HIGH,CREDIT_CARD,Asia/Kolkata,WRITEOFF,0.0,0.0,0.0,0.0,
ACC0000024,2026-05,1,10.0,WHATSAPP,1,541188.19,0,HIGH,CREDIT_CARD,Asia/Dubai,CLOSED,0.0,0.0,0.0,0.0,
ACC0000025,2026-02,2,4.5,VOICE,2,163102.81,5,LOW,PERSONAL,Asia/Kolkata,PAID,0.0,0.0,0.0,0.0,
ACC0000025,2026-03,1,10.0,FIELD,1,163102.81,5,LOW,PERSONAL,Asia/Kolkata,PAID,0.0,0.0,0.0,0.0,
ACC0000027,2026-04,1,4.0,VOICE,1,84250.6,75,HIGH,PERSONAL,Asia/Kolkata,PAID,0.0,0.0,0.0,0.0,
ACC0000027,2026-07,1,1.0,WHATSAPP,1,84250.6,75,HIGH,PERSONAL,Asia/Kolkata,PAID,0.0,0.0,0.0,0.0,
